SIRUTA,F1,F2,F3,F4,F5
20670,-0.05,-0.13,-0.02,-0.08,0.03
20778,-0.09,0.3,0.56,0.12,0.03
20821,0.08,-0.62,-0.42,-1.66,-0.83
20876,0.29,0.98,0.24,-0.82,0.56
20910,-0.05,-0.35,0.02,0.28,-0.14
20965,0.03,0.39,-0.57,-0.58,0.95
21007,-0.05,-0.08,0.06,0.06,0.16
21098,-0.06,-0.22,-0.03,0.06,-0.0
21123,-0.04,-0.02,-0.13,-0.12,0.13
21196,-0.06,-0.15,-0.03,-0.02,0.0
21249,-0.06,-0.17,-0.04,-0.02,0.01
21338,-0.05,-0.12,0.01,-0.04,0.05
21418,-0.05,-0.16,-0.01,0.1,-0.08
21454,-0.06,-0.1,-0.14,-0.01,0.2
21506,-0.1,0.21,0.09,-0.04,-0.22
21560,-0.11,-0.31,-0.02,0.05,-0.33
21597,-0.04,-0.13,0.06,-0.15,-0.06
21668,-0.08,-0.19,-0.42,1.21,0.08
21720,-0.08,-0.0,0.06,0.06,-0.82
21757,-0.05,-0.14,-0.07,-0.03,0.05
21855,-0.05,-0.09,-0.0,0.03,0.0
21891,-0.06,-0.16,-0.03,0.02,0.03
21971,-0.06,-0.16,-0.04,-0.01,0.03
22059,-0.06,-0.17,-0.03,0.0,0.04
22111,-0.06,-0.14,-0.03,-0.02,0.02
22166,-0.0,0.2,-0.44,-0.38,0.63
22237,-0.08,-0.04,0.04,0.04,0.08
22380,-0.06,-0.18,-0.01,-0.11,-0.13
22460,-0.04,-0.08,0.0,0.01,0.04
22488,-0.06,-0.16,-0.03,-0.0,0.02
22576,-0.11,-0.34,-0.09,-0.05,-0.4
22665,-0.06,-0.16,-0.04,-0.01,0.03
22718,-0.06,-0.09,0.01,-0.0,0.11
22781,-0.04,-0.07,0.06,0.17,-0.02
22834,-0.05,-0.12,-0.1,-0.12,0.09
22898,-0.07,-0.14,-0.01,-0.06,-0.05
22941,-0.05,-0.11,-0.07,-0.12,0.05
23047,-0.06,-0.16,-0.04,-0.0,0.02
23127,-0.06,-0.16,-0.05,-0.02,0.03
23207,-0.06,-0.15,-0.05,0.01,0.04
23289,-0.07,-0.16,0.0,0.0,-0.11
23350,-0.06,-0.14,0.0,0.02,0.03
